team_name,position,total_teams,played,wins,draws,losses,goals_for,goals_against,points,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
Atletico Madrid,1,20,18,12,5,1,33,12,41,7,2,0,19,6,5,3,1,14,6
Real Madrid,2,20,18,12,4,2,41,18,40,8,0,1,24,9,4,4,1,17,9
Barcelona,3,20,19,12,2,5,51,22,38,5,0,3,20,8,7,2,2,31,14
Athletic Bilbao,4,20,19,10,6,3,29,17,36,6,3,1,16,7,4,3,2,13,10
Villarreal,5,20,18,8,6,4,34,30,30,3,4,2,18,17,5,2,2,16,13
Mallorca,6,20,19,9,3,7,19,21,30,4,3,3,9,11,5,0,4,10,10
Real Sociedad,7,20,18,7,4,7,16,13,25,3,2,4,9,9,4,2,3,7,4
Girona,8,20,18,7,4,7,26,25,25,5,1,3,18,13,2,3,4,8,12
Real Betis,9,20,18,6,7,5,21,22,25,4,4,1,13,9,2,3,4,8,13
Osasuna,10,20,18,6,7,5,23,27,25,5,3,2,18,14,1,4,3,5,13
Celta Vigo,11,20,18,7,3,8,27,28,24,6,2,2,17,9,1,1,6,10,19
Rayo Vallecano,12,20,18,5,7,6,20,21,22,2,3,3,12,13,3,4,3,8,8
Las Palmas,13,20,18,6,4,8,23,27,22,3,3,3,12,12,3,1,5,11,15
Sevilla,14,20,18,6,4,8,20,27,22,5,1,3,8,8,1,3,5,12,19
Leganes,15,20,18,4,6,8,17,28,18,3,1,5,8,15,1,5,3,9,13
Deportivo Alaves,16,20,18,4,5,9,21,30,17,3,3,2,9,9,1,2,7,12,21
Getafe,17,20,18,3,7,8,11,15,16,3,5,2,8,5,0,2,6,3,10
Espanyol,18,20,18,4,3,11,16,30,15,4,2,3,12,11,0,1,8,4,19
Valencia,19,20,17,2,6,9,16,26,12,2,3,3,12,11,0,3,6,4,15
Valladolid,20,20,18,3,3,12,12,37,12,2,3,4,6,12,1,0,8,6,25 