team_name,position,total_teams,played,wins,draws,losses,goals_for,goals_against,points,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
PSG,1,18,16,12,4,0,44,14,40,7,1,0,24,6,5,3,0,20,8
Marseille,2,18,15,9,3,3,32,18,30,2,3,2,9,11,7,0,1,23,7
Monaco,3,18,16,9,3,4,26,16,30,5,2,2,14,10,4,1,2,12,6
Lille,4,18,15,7,6,2,25,15,27,4,2,1,13,9,3,4,1,12,6
Lyon,5,18,15,7,4,4,27,20,25,4,1,2,15,11,3,3,2,12,9
Nice,6,18,15,6,6,3,28,19,24,4,3,0,18,7,2,3,3,10,12
Lens,7,18,15,6,6,3,19,14,24,3,2,2,8,7,3,4,1,11,7
Auxerre,8,18,15,6,3,6,23,23,21,5,2,1,14,7,1,1,5,9,16
Toulouse,9,18,15,6,3,6,17,17,21,4,2,2,10,7,2,1,4,7,10
Reims,10,18,15,5,5,5,20,18,20,2,3,3,9,11,3,2,2,11,7
Brest,11,18,15,6,1,8,24,27,19,5,1,2,17,9,1,0,6,7,18
Rennes,12,18,15,5,2,8,20,20,17,5,1,2,16,5,0,1,6,4,15
RC Strasbourg,13,18,15,4,5,6,25,27,17,3,3,1,11,8,1,2,5,14,19
Nantes,14,18,15,3,5,7,17,24,14,2,2,3,8,9,1,3,4,9,15
Angers,15,18,15,3,4,8,14,26,13,1,1,5,9,18,2,3,3,5,8
Saint-Etienne,16,18,15,4,1,10,12,34,13,4,0,3,7,7,0,1,7,5,27
Le Havre,17,18,15,4,0,11,11,29,12,2,0,6,5,19,2,0,5,6,10
Montpellier,18,18,15,2,3,10,15,38,9,2,3,3,12,19,0,0,7,3,19 