player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Victor Osimhen,11,9,3,3.9,1.9,67.3,0.1,2.4,2
Barış Alper Yılmaz,16,8,1,2.0,1.3,77.8,0.9,2.1,3
Michy Batshuayi,15,5,2,0.9,0.5,77.6,0.1,0.1,1
Yunus Akgün,16,5,5,1.2,0.8,80.7,0.3,0.3,1
Dries Mertens,16,4,5,1.6,0.9,69.6,0.7,0.1,2
Mauro Icardi,7,4,1,1.4,0.7,69.3,0.0,1.3,0
Abdülkerim Bardakçı,15,2,1,0.5,0.3,82.4,0.6,4.3,3
Kerem Aktürkoğlu,3,2,2,1.7,1.0,75.5,0.0,1.3,0
Gabriel Sara,15,2,5,1.1,0.5,82.2,0.5,0.8,0
Davinson Sanchez,11,2,0,1.1,0.5,83.6,1.5,2.3,5
Roland Sallai,10,1,0,1.4,0.9,85.2,1.4,0.5,4
Kerem Demirbay,13,0,1,0.3,0.1,79.8,0.8,0.2,2
Leo Dubois,12,0,0,0.1,0.1,74.5,0.9,0.3,0
Lucas Torreira,15,0,4,0.3,0.2,88.2,1.8,0.5,2
Victor Nelsson,8,0,0,0.1,0.1,78.2,0.1,2.3,0
Derrick Köhn,1,0,0,1.0,1.0,90.3,2.0,1.0,0
Ismail Jakobs,8,0,1,0.0,0.0,76.2,0.6,1.0,1
Metehan Baltacı,7,0,1,0.3,0.3,92.7,0.1,0.9,1
Yusuf Demir,4,0,0,0.8,0.3,94.1,0.0,0.0,0
Berkan Kutlu,13,0,1,0.3,0.0,83.7,0.5,0.5,1 