team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
Liverpool,18,2.5,12.3,6.9,57,86.5,466,51.2,55.7,6.6
Tottenham,19,2.2,10.9,5.7,58,85.9,439,49.6,49.3,7.9
Chelsea,19,2.0,11.4,6.2,58,87.0,465,50.3,49.2,6.2
Arsenal,18,1.9,10.1,5.2,56,86.5,417,48.3,50.6,6.5
Brentford,18,1.8,7.7,4.8,48,81.1,346,52.1,54.1,4.7
Newcastle United,19,1.7,10.1,4.6,51,83.8,389,49.4,51.0,5.6
Manchester City,19,1.7,12.3,5.8,61,90.4,554,51.4,49.8,8.2
Wolverhampton,19,1.6,7.8,4.2,47,81.2,337,51.5,49.6,3.2
Aston Villa,19,1.5,9.1,4.2,50,85.6,371,51.2,45.4,6.6
Bournemouth,19,1.5,11.8,5.6,45,79.2,303,47.1,45.5,6.5
Brighton & Hove Albion,19,1.5,10.1,4.9,53,85.4,401,48.7,53.2,5.2
Fulham,19,1.5,9.9,4.9,51,84.2,397,51.3,47.6,5.3
Nottingham Forest,19,1.4,9.5,4.7,40,78.5,266,51.7,50.1,4.6
Leicester City,19,1.2,6.7,3.2,46,82.0,347,50.0,50.0,3.5
West Ham United,19,1.2,9.8,4.4,47,81.2,340,49.1,50.9,5.2
Manchester United,19,1.1,9.5,4.7,54,85.2,439,50.2,49.2,4.8
Crystal Palace,19,1.1,9.8,5.0,44,78.0,307,49.2,44.3,5.1
Ipswich Town,19,0.9,6.8,3.3,41,80.2,293,49.2,52.1,4.5
Everton,18,0.8,8.3,3.5,40,78.7,270,50.3,52.5,4.2
Southampton,19,0.6,6.2,3.0,53,87.3,434,49.4,52.1,4.5 