team_name,position,total_teams,played,wins,draws,losses,goals_for,goals_against,points,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
Galatasaray,1,19,16,14,2,0,47,19,44,7,2,0,25,13,7,0,0,22,6
Fenerbahce,2,19,16,11,3,2,40,15,36,6,0,1,17,5,5,3,1,23,10
Samsunspor,3,19,16,9,3,4,29,17,30,4,2,2,15,9,5,1,2,14,8
Goztepe,4,19,16,8,4,4,31,21,28,7,1,0,20,6,1,3,4,11,15
Eyupspor,5,19,17,7,6,4,25,18,27,5,2,1,15,6,2,4,3,10,12
Besiktas,6,19,16,7,5,4,25,18,26,5,1,2,15,11,2,4,2,10,7
Basaksehir,7,19,16,6,5,5,27,23,23,4,4,0,20,9,2,1,5,7,14
Gaziantep FK,8,19,16,6,3,7,22,24,21,5,2,1,12,4,1,1,6,10,20
Antalyaspor,9,19,16,6,3,7,20,28,21,5,1,2,12,11,1,2,5,8,17
Kasimpasa,10,19,16,4,8,4,22,23,20,1,3,4,8,13,3,5,0,14,10
Konyaspor,11,19,16,5,5,6,18,23,20,2,4,1,8,7,3,1,5,10,16
Rizespor,12,19,16,6,2,8,16,25,20,3,2,3,10,11,3,0,5,6,14
Trabzonspor,13,19,16,4,7,5,24,22,19,4,3,1,17,10,0,4,4,7,12
Sivasspor,14,19,17,5,4,8,20,27,19,3,3,3,11,11,2,1,5,9,16
Alanyaspor,15,19,16,4,6,6,16,19,18,3,3,2,10,7,1,3,4,6,12
Kayserispor,16,19,16,3,6,7,16,32,15,1,3,4,10,20,2,3,3,6,12
Bodrum FK,17,19,16,4,2,10,12,22,14,3,1,4,8,6,1,1,6,4,16
Hatayspor,18,19,16,1,6,9,14,27,9,1,4,4,8,13,0,2,5,6,14
Adana Demirspor,19,19,16,2,2,12,15,36,5,1,0,7,7,19,1,2,5,8,17 